market,proxy,proxy_bin,slope,y_true
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,8.944831767751625,"(0.647, 13.781]",-7.957690751962247,0
culture-gta-vi-released-in-2025,32.98748100020911,"(31.669, 59.113]",-9.45397626857254,0
culture-jd-vance-baby-boy-or-girl,11.832751870847012,"(0.647, 13.781]",-0.046958952673967796,1
culture-major-meteor-strike-10kt-in-2025,17.174014428720398,"(13.781, 22.341]",-8.715617238106317,0
culture-trump-confirmed-to-be-satoshi-by-december-31,15.25194481337961,"(13.781, 22.341]",-10.938869316192902,0
culture-trump-divorce-in-2025,33.15411697660041,"(31.669, 59.113]",-6.518422047498485,0
culture-will-an-fbi-top-ten-most-wanted-fugitive-be-captured-by-june-2026,8.254124797517715,"(0.647, 13.781]",-1.7440211873682046,1
culture-will-cz-return-to-binance-by-december-31,25.496997458527034,"(22.341, 31.669]",-6.867846128859468,0
culture-will-trump-and-machado-share-the-nobel-peace-prize,22.333254258592245,"(13.781, 22.341]",-5.82754737115208,1
culture-will-trump-remove-his-rob-reiner-post,32.915016503221416,"(31.669, 59.113]",-13.305557611154242,0
culture-will-zelenskyy-wear-a-suit-and-tie-at-the-world-economic-forum,3.6836233382205776,"(0.647, 13.781]",-4.027476222498435,0
geopolitics-china-x-japan-sever-diplomatic-relations-in-2025,33.04102106059458,"(31.669, 59.113]",-14.34414875442387,0
geopolitics-foreign-intervention-in-gaza-in-2025,33.763227846456985,"(31.669, 59.113]",-14.847275696782964,0
geopolitics-maduro-in-us-custody-by-december-31,22.62115400082553,"(22.341, 31.669]",-15.254060619638175,0
geopolitics-russia-strike-on-kyiv-municipality-by-december-31-684,31.590987261894313,"(22.341, 31.669]",-11.467530813233436,0
geopolitics-will-hezbollah-to-disarm-before-in-2025,21.390530368127216,"(13.781, 22.341]",-10.491502680787454,0
geopolitics-will-iran-withdraw-from-the-npt-in-2025,26.867692323758693,"(22.341, 31.669]",-11.07960290070951,0
geopolitics-will-japanese-pm-apologize-for-china-comments-in-2025,38.35087517475532,"(31.669, 59.113]",-15.363526637938389,0
geopolitics-will-netanyahu-be-pardoned-in-2025,32.817127050559236,"(31.669, 59.113]",-15.084835919240085,0
geopolitics-will-russia-capture-slovainsk-in-2025,24.247202229469718,"(22.341, 31.669]",-10.883606995911624,0
geopolitics-will-the-us-invade-afghanistan-in-2025,11.40554813434933,"(0.647, 13.781]",-8.303204378459379,0
geopolitics-will-trump-pardon-maduro-by-december-31,25.579405871143926,"(22.341, 31.669]",-14.082122419298061,0
politics-israel-strike-on-the-west-bank-by-december-31-586,17.191667793332613,"(13.781, 22.341]",-17.701560979017756,0
politics-nicols-maduro-seen-in-public-by-january-5,32.6916622987748,"(31.669, 59.113]",-2.075780391834555,1
politics-us-anti-cartel-operation-on-foreign-soil-by-december-31,13.290957837806848,"(0.647, 13.781]",-15.501463168408511,1
politics-us-forces-in-iran-in-2025,32.79732834026595,"(31.669, 59.113]",-4.317760288275658,0
politics-will-alberta-vote-for-independence-in-2025,31.695170158050974,"(31.669, 59.113]",-7.289580070459036,0
politics-will-trump-try-to-fire-powell-in-2025,21.15850237841529,"(13.781, 22.341]",-5.481014562053088,0
politics-will-venezuela-give-the-us-oil-by-january-31,16.01622367686266,"(13.781, 22.341]",-1.659425916284344,1
tech-fanduel-launches-prediction-markets-with-cme-by-end-of-2025,24.472360504677805,"(22.341, 31.669]",-16.94669980353873,1
tech-musk-no-longer-richest-person-in-the-world-by-end-of-year,28.36120269929524,"(22.341, 31.669]",-5.434082596086952,0
tech-musk-out-as-tesla-ceo-in-2025,22.680967692258562,"(22.341, 31.669]",-7.452189604251568,0
tech-nothing-ever-happens-ai-edition,20.98094806398686,"(13.781, 22.341]",-13.00977150224174,1
tech-openai-announces-it-has-achieved-agi-in-2025,25.172295872642156,"(22.341, 31.669]",-7.841114662019151,0
tech-us-enacts-ai-safety-bill-in-2025,16.99653277512456,"(13.781, 22.341]",-6.782162895157164,0
tech-will-a-chinese-ai-model-become-1-in-2025,9.830476606568546,"(0.647, 13.781]",-4.6042425840220496,0
tech-will-apple-release-a-new-product-line-in-2025,17.91855818739289,"(13.781, 22.341]",-8.451772013951226,0
tech-will-apple-release-airtag-2-by-june-30,4.3182970535322704,"(0.647, 13.781]",-0.5892316291109575,1
tech-will-polymarket-us-go-live-in-2025,40.35636467791634,"(31.669, 59.113]",-4.8970885001708195,1
tech-x-relaunches-vine-in-2025,12.564986225414712,"(0.647, 13.781]",-9.609629853348146,0
world-german-government-files-appeal-to-ban-afd-in-2025,59.113455605516506,"(31.669, 59.113]",-3.4643592002222094,0
world-iran-nuclear-test-in-2025,11.64944015991308,"(0.647, 13.781]",-8.754950398419336,0
world-maduro-travels-outside-venezuela-by-march-31,20.61614755857481,"(13.781, 22.341]",-18.464736064858837,1
world-north-korea-missile-launch-by-january-31-661,0.6479327973777471,"(0.647, 13.781]",-1.9566450225641214,1
world-us-agrees-to-give-ukraine-security-guarantee-in-2025,22.348742683233205,"(22.341, 31.669]",-10.292594054548337,0
world-will-china-unban-bitcoin-in-2025,10.597714888512616,"(0.647, 13.781]",-9.192899720988956,0
world-will-north-and-south-korea-engage-in-direct-talks-in-2025,23.58849067771909,"(22.341, 31.669]",-10.22130841478997,0
world-will-russia-announce-a-christmas-truce,8.766872128863147,"(0.647, 13.781]",-6.711461426470354,0
world-will-the-iranian-regime-fall-in-2025,35.06489421154808,"(31.669, 59.113]",-10.0366516382472,0
world-will-ukraine-agree-to-cede-territory-to-russia,22.14911342283596,"(13.781, 22.341]",-7.710462627184313,0
